On day 1, the price is $9.95
On day 2, the price is $9.50
On day 3, the price is $9.38
On day 4, the price is $9.55
On day 5, the price is $11.18
On day 6, the price is $12.88
On day 7, the price is $14.53
On day 8, the price is $15.44
On day 9, the price is $15.16
On day 10, the price is $14.54
On day 11, the price is $13.85
On day 12, the price is $14.51
On day 13, the price is $16.10
On day 14, the price is $18.13
On day 15, the price is $17.87
On day 16, the price is $18.85
On day 17, the price is $18.57
On day 18, the price is $19.58
On day 19, the price is $22.50
On day 20, the price is $22.80
On day 21, the price is $21.78
On day 22, the price is $22.92
On day 23, the price is $26.60
On day 24, the price is $25.48
On day 25, the price is $25.34
On day 26, the price is $25.14
On day 27, the price is $25.10
On day 28, the price is $26.34
On day 29, the price is $25.66
On day 30, the price is $24.58
On day 31, the price is $23.54
On day 32, the price is $26.97
On day 33, the price is $25.77
On day 34, the price is $24.92
On day 35, the price is $28.42
On day 36, the price is $28.41
On day 37, the price is $30.87
On day 38, the price is $34.41
On day 39, the price is $37.59
On day 40, the price is $35.94
On day 41, the price is $36.79
On day 42, the price is $35.46
On day 43, the price is $33.69
On day 44, the price is $36.92
On day 45, the price is $35.92
On day 46, the price is $37.43
On day 47, the price is $37.57
On day 48, the price is $43.09
On day 49, the price is $44.79
On day 50, the price is $48.65
On day 51, the price is $46.88
On day 52, the price is $50.85
On day 53, the price is $49.79
On day 54, the price is $48.38
On day 55, the price is $56.77
On day 56, the price is $54.68
On day 57, the price is $52.31
On day 58, the price is $50.52
On day 59, the price is $52.50
On day 60, the price is $52.26
On day 61, the price is $53.44
On day 62, the price is $51.39
On day 63, the price is $60.19
On day 64, the price is $58.54
On day 65, the price is $59.92
On day 66, the price is $58.61
On day 67, the price is $60.88
On day 68, the price is $69.46
On day 69, the price is $66.90
On day 70, the price is $77.06
On day 71, the price is $86.37
On day 72, the price is $92.65
On day 73, the price is $88.41
On day 74, the price is $85.05
On day 75, the price is $84.63
On day 76, the price is $81.46
On day 77, the price is $89.91
On day 78, the price is $86.77
On day 79, the price is $88.02
On day 80, the price is $83.79
On day 81, the price is $87.81
On day 82, the price is $97.10
On day 83, the price is $99.75
On day 84, the price is $97.54
On day 85, the price is $101.86
